rpm,compressorActive,manifoldAbsolutePressureKilopascals,compressorPressureRatio,compressorOutletKelvin,chargeCoolerHeatKilowatts,compressorShaftPowerKilowatts,turbineExtractedPowerKilowatts,perCompressorMassFlowKilogramsPerSecond,perCompressorCorrectedMassFlowPoundsPerMinute,compressorMapAssessment
1000,False,73.536797,1.0,313.15,0.0,0.0,0.0,0.012540954,1.782115,requires-digitized-vendor-map
1500,True,133.153048,1.476258,362.300989,2.680446,3.365089,3.542199,0.034061851,4.840311,requires-digitized-vendor-map
2000,True,179.756615,1.950233,400.944222,9.587031,10.819389,11.388831,0.061311332,8.712561,requires-digitized-vendor-map
2500,True,196.608798,2.121625,413.253363,15.181193,16.866057,17.753744,0.083824087,11.911704,requires-digitized-vendor-map
3000,True,198.260973,2.138428,414.421398,18.608661,20.647488,21.734198,0.101434189,14.414163,requires-digitized-vendor-map
4000,True,192.596373,2.080817,410.388939,23.037768,25.678535,27.030037,0.131381426,18.669773,requires-digitized-vendor-map
5000,True,192.596373,2.080817,410.388939,28.79721,32.098168,33.787546,0.164226782,23.337216,requires-digitized-vendor-map
5500,True,195.387625,2.109205,412.385779,32.871589,36.555267,38.479228,0.183267569,26.04298,requires-digitized-vendor-map
6000,True,187.687054,2.030888,406.829121,32.301643,36.161822,38.065076,0.192048731,27.290815,requires-digitized-vendor-map
6500,True,174.7618,1.899434,397.147961,28.813867,32.70774,34.4292,0.193725031,27.529023,requires-digitized-vendor-map
7000,True,157.967935,1.728634,383.826258,22.998934,26.789368,28.199334,0.188578794,26.797724,requires-digitized-vendor-map
