rpm,torqueNewtonMeters,powerKilowatts,bmepBar,brakeThermalEfficiency,bsfcGramsPerKilowattHour,fuelMassFlowKilogramsPerSecond,airMassFlowKilogramsPerSecond
1000,180.0,18.849556,5.659879,0.22,383.223334,0.002006553,0.025081909
1500,400.0,62.831853,12.577509,0.27,312.25605,0.005449896,0.068123702
2000,600.0,125.663706,18.866263,0.3,281.030445,0.009809813,0.122622664
2500,700.0,183.259571,22.010641,0.32,263.466042,0.013411854,0.167648174
3000,750.0,235.619449,23.582829,0.34,247.96804,0.01622947,0.202868378
4000,750.0,314.159265,23.582829,0.35,240.883239,0.021021028,0.262762852
5000,750.0,392.699082,23.582829,0.35,240.883239,0.026276285,0.328453564
5500,750.0,431.96899,23.582829,0.345,244.3743,0.029322811,0.366535137
6000,710.0,446.106157,22.325078,0.34,247.96804,0.030727797,0.384097462
6500,661.105148,450.0,20.78764,0.34,247.96804,0.030996005,0.387450062
7000,580.0,425.162206,18.237388,0.33,255.482223,0.030172607,0.377157588
